Qty,Part,Link
2,M2 x 8 Hexagon Socket Countersunk Head Screw,
4,M3 x 6 Hexagon Socket Flat Countersunk Head Cap Screw,
22,M3 x 8 Hexagon Socket Flat Countersunk Head Cap Screw,
3,M2 x 4 Countersunk Head Screw,
13,M3 x 16 Hexagon Socket Head Cap Screw,
2,M3 x 20 Hexagon Socket Flat Countersunk Head Cap Screw,
8,M3 x 8 Hexagon Socket Head Cap Screw,
4,M3 x 20 Hexagon Socket Head Cap Screw,
8,M2.5 x 8 Hexagon Socket Countersunk Head Screw,
2,M2.5 x 6 Hexagon Socket Countersunk Head Screw,
4,M3 x 12 Hexagon Socket Head Cap Screw,
1,M3 x 6 Hexagon Socket Head Cap Screw,
27,M3 x 4 Heat-Set Inserts,
8,M3 Hexagon Regular Nut,
1,1541A4 360 Degree Friction Hinge (Right),
1,1541A3 360 Degree Friction Hinge (Left),
