Qty,Value,Parts,Description,Digikey,MPN
17,0.1uF,"C1, C2, C3, C4, C5, C6, C7, C8, C11, C21, C27, C28, C30, C32, C34, C45, C51",0.1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric),1276-1003-1-ND,CL21B104KBCNNNC
1,1-2199119-5,J7,67 Position Female Connector M.2 (NGFF) Mini Card,A115902CT-ND,1-2199119-5
6,100K,"R7, R11, R12, R13, R14, R17","100 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric)",A129773CT-ND,CRGCQ0805F100K
1,100uF,C18,100 µF Molded Tantalum Polymer Capacitor 10 V 1411 (3528 Metric),478-TCTOBL1A107M8R-ZS1CT-ND,TCTOBL1A107M8R-ZS1
8,10K,"R1, R6, R16, R19, R28, R31, R32, R33, R34","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric)",A129761CT-ND,CRGCQ0805F10K
17,10uF,"C9, C10, C14, C15, C16, C17, C19, C20, C22, C23, C24, C25, C29, C31, C33, C35, C52",10 µF ±10% 25V Ceramic Capacitor X7R 1206 (3216 Metric),1276-1804-1-ND,CL31B106KAHNNNE
1,12K,R10,"12 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric)",A129762CT-ND,CRGCQ0805F12K
1,15K,R15,"15 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric)",A126341CT-ND,CRG0805F15K
8,1uF,"C40, C41, C44, C46, C47, C48, C49, C50",1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric),1276-1029-1-ND,CL21B105KBFNNNE
3,2.2K,"R18, R24, R25","2.2 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric)",A106060CT-ND,CRG0805F2K2
2,2.2nF,"C38, C39","2200 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)",1276-2993-1-ND,CL21C222JBFNNNE
4,2.2uF,"C36, C37, C42, C43",2.2 µF ±10% 10V Ceramic Capacitor X7R 0805 (2012 Metric),1276-1188-1-ND,CL21B225KPFNNNE
1,2.2uH,L1,2.2 µH Shielded Molded Inductor 10.3 A 14.52mOhm Max,732-74439334022CT-ND,74439334022
1,2328702-8,J14,"8 Position FPC Connector Contacts, Top and Bottom 0.020"" (0.50mm) Surface Mount, Right Angle",A141389CT-ND,2328702-8
1,24 MHz,Y1,"24 MHz ±20ppm Crystal 18pF 50 Ohms 4-SMD, No Lead",732-830058124CT-ND,830058124
2,27pF,"C12, C13","27 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)",738-CML0805C0G270JT50VCT-ND,CML0805C0G270JT50V
1,4.7nF,C26,"4700 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)",490-3044-1-ND,GRM2165C1H472JA01D
4,470,"R2, R3, R26, R27","470 Ohms ±5% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric)",A130132CT-ND,CRGCQ0805J470R
4,5.1K,"R4, R5, R8, R9","5.1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric)",A126379CT-ND,CRG0805F5K1
4,56K,"R20, R21, R22, R23","56 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric)",A129770CT-ND,CRGCQ0805F56K
2,61201621721,"J18, J19","Connector Header Through Hole, Right Angle 16 position 0.100"" (2.54mm)",732-2099-ND,61201621721
1,614104190121,J4,USB-A (USB TYPE-A) USB 2.0 Receptacle Connector,732-10011-1-ND,614104190121
1,AP22653W6-7,U3,Power Switch/Driver 1:1 N-Channel 2.1A SOT-26 (Type A1),31-AP22653AW6-7CT-ND,AP22653AW6-7
1,AP3441SHE-7BIC8_AP3441SHE-7B_DIO-M,U12,Buck Switching Regulator IC Positive Adjustable 0.6V 1 Output 3A,AP3441SHE-7BDICT-ND,AP3441SHE-7B
1,ASEK-32.768KHZ-L-R-T,Y2,"32.768 kHz XO (Standard) CMOS Oscillator 3.3V Enable/Disable 4-SMD, No Lead",535-ASEK-32.768KHZ-L-R-TCT-ND,ASEK-32.768KHZ-L-R-T
2,CM5108064B,U1,"100 Position Connector Receptacle, Center Strip Contacts Surface Mount Gold",H11615CT-ND,DF40C-100DS-0.4V(51)
1,COIN-CELL-SMT-3P-3002-BR2016,BT1,"Battery Retainer Coin, 20.0mm 1 Cell SMD (SMT) Tab",36-3002-ND,3002
1,FBCHIP-0805(2012-METRIC),FB1,1 kOhms @ 100 MHz 1 Signal Line Ferrite Bead 0805 (2012 Metric),732-6704-1-ND,782851102
1,FH12-22S-0.5SH(55)CONN_FH12-22S-0.5SH(55)_HIR,J1,"22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle",HFJ122CT-ND,FH12-22S-0.5SH(55)
1,FSUSB42MUX,U5,USB Switch IC 1 Channel 10-MSOP,FSUSB42MUXCT-ND,FSUSB42MUX
2,HD05-19-TH-TR,"J2, J3","HDMI HDMI 2.0 Receptacle Connector 19 Position Surface Mount, Right Angle; Through Hole",2223-HD05-19-TH-TRCT-ND,HD05-19-TH-TR
1,L8BE-1G1T-BFH,J10,"1 Port RJ45 Board Edge, Cutout; Through Hole 10/100/1000 Base-T, AutoMDIX",5923-L8BE-1G1T-BFH-ND,L8BE-1G1T-BFH
2,M55-7011242R,"J16, J21","Connector Header Surface Mount 12 position 0.050"" (1.27mm)",952-3875-1-ND,M55-7011242R
1,MAX98306ETD+T,U14,Amplifier IC 2-Channel (Stereo) Class D 14-TDFN (3x3),MAX98306ETD+TCT-ND,MAX98306ETD+T
1,PCM5100APWRPW0020A,U13,"DAC, Audio 16 b, 24 b, 32 b 384k PCM 20-TSSOP",296-36705-1-ND,PCM5100APWR
1,RT9742SNGVSOT_42SNGV_RIT,U2,Power Switch/Driver 1:1 N-Channel 500mA SOT-23-3,1028-RT9742SNGVCT-ND,RT9742SNGV
2,S2B-XH-A,"J12, J13","Connector Header Through Hole, Right Angle 2 position 0.098"" (2.50mm)",455-S2B-XH-A-1-ND,S2B-XH-A-1
