Qty,Part,Link
1,Raspberry Pi Compute Module 5,
1,NVMe SSD,
1,Aluminum Heatsink for Raspberry Pi CM4,
1,2.4G/5G WiFi Antenna Compatible w/ Raspberry Pi CM4 & CM5,
2,3.7V 5000mAh Lithium Ion Polymer Battery,
1,12.3inch DSI Capacitive Touch Screen,
1,SupTronics X1203 UPS for Raspberry Pi 5,
1,Raspberry Pi 27W USB-C Power Supply,
1,Cirque Capacitance Touch Sensor Modules 40mm Round,
54,Kailh c V1 Low Profile Switches,
52,Choc V1 Low profile Keycaps,
2,(2u) Choc V1 Low profile Keycaps,
1,"Monochrome 1.3"" 128x64 SH1106G SPI OLED Monochrome Display",1528-5228-ND
1,"22 Position FFC, FPC Cable 0.020"" (0.50mm) 12.0"" (304.8mm)",0151660248-ND
1,"8 Position FFC, FPC Cable 0.020"" (0.50mm) 12.0"" (304.8mm)",2073-05-08-D-0304-A-4-06-4-G-ND
