Qty,Value,Device,Package,Parts,Description,
2,0,R-US_CHIP-0805(2012-METRIC),RESC2012X65,"R29, R30","Resistor Fixed - ANSI",
17,0.1uF,C-US_CHIP-0805(2012-METRIC),CAPC2012X110,"C1, C2, C3, C4, C5, C6, C7, C8, C11, C21, C27, C28, C30, C32, C34, C45, C51","Capacitor - ANSI",
1,1-2199119-5,1-2199119-5,TE_1-2199119-5,J7,,
6,100K,R-US_CHIP-0805(2012-METRIC),RESC2012X65,"R7, R11, R12, R13, R14, R17","Resistor Fixed - ANSI",
1,100uF,C-POL-US_TANTALUM-1411(3528-METRIC),CAPMP3528X210N,C18,"Capacitor Polarised - ANSI",
8,10K,R-US_CHIP-0805(2012-METRIC),RESC2012X65,"R1, R6, R16, R19, R31, R32, R33, R34","Resistor Fixed - ANSI",
1,10k,R-US_CHIP-0805(2012-METRIC),RESC2012X65,R28,"Resistor Fixed - ANSI",
17,10uF,C-US_CHIP-1206(3216-METRIC),CAPC3216X135,"C9, C10, C14, C15, C16, C17, C19, C20, C22, C23, C24, C25, C29, C31, C33, C35, C52","Capacitor - ANSI",
1,12K,R-US_CHIP-0805(2012-METRIC),RESC2012X65,R10,"Resistor Fixed - ANSI",
1,15K,R-US_CHIP-0805(2012-METRIC),RESC2012X65,R15,"Resistor Fixed - ANSI",
8,1uF,C-US_CHIP-0805(2012-METRIC),CAPC2012X110,"C40, C41, C44, C46, C47, C48, C49, C50","Capacitor - ANSI",
3,2.2K,R-US_CHIP-0805(2012-METRIC),RESC2012X65,"R18, R24, R25","Resistor Fixed - ANSI",
2,2.2nF,C-US_CHIP-0805(2012-METRIC),CAPC2012X110,"C38, C39","Capacitor - ANSI",
4,2.2uF,C-US_CHIP-0805(2012-METRIC),CAPC2012X110,"C36, C37, C42, C43","Capacitor - ANSI",
1,2.2uH,WE-XHMI_5030_74439334022,WE-XHMI_5030,L1,"WE-XHMI SMT Power Inductor",
1,2328702-8,2328702-8,TE_2328702-8,J14,,
1,"24 MHz",WE-XTAL_CFPX-180_830058124,WE-XTAL_CFPX-180,Y1,"WE-XTAL Quartz Crystal",
2,27pF,C-US_CHIP-0805(2012-METRIC),CAPC2012X110,"C12, C13","Capacitor - ANSI",
1,4.7nF,C-US_CHIP-0805(2012-METRIC),CAPC2012X110,C26,"Capacitor - ANSI",
4,470,R-US_CHIP-0805(2012-METRIC),RESC2012X65,"R2, R3, R26, R27","Resistor Fixed - ANSI",
4,5.1K,R-US_CHIP-0805(2012-METRIC),RESC2012X65,"R4, R5, R8, R9","Resistor Fixed - ANSI",
4,56K,R-US_CHIP-0805(2012-METRIC),RESC2012X65,"R20, R21, R22, R23","Resistor Fixed - ANSI",
2,61201621721,6120XX21721_61201621721,61201621721,"J18, J19","WR-BHD 2.54 mm Male Angled Box Header",
1,614104190121,614104190121,614104190121,J4,"WR-COM USB 2.0 Type A Horizontal THT Short Type",
1,AP22653W6-7,AP22653W6-7,SOT95P280X145-6N,U3,"Power Switch/Driver 1:1 P-Channel 2.1A SOT-23-6",
1,AP3441SHE-7BIC8_AP3441SHE-7B_DIO-M,AP3441SHE-7BIC8_AP3441SHE-7B_DIO-M,IC8_AP3441SHE-7B_DIO-M,U12,,
1,ASEK-32.768KHZ-L-R-T,ASEK-32.768KHZ-L-R-T,XTAL_ASEK-32.768KHZ-L-R-T,Y2,,
1,CM5108064B,CM5108064B,MODULE_CM5108064B,U1,"Check availability",
1,COIN-CELL-SMT-3P-3002-BR2016,COIN-CELL-SMT-3P-3002-BR2016,BAT_3002,BT1,"Battery Holders - Coin Cell SMD - CR2032 | LR44 | SR44 etc.",
1,FBCHIP-0805(2012-METRIC),FBCHIP-0805(2012-METRIC),BEADC2012X105N,FB1,"Ferrite Bead - Generic",
1,FH12-22S-0.5SH(55)CONN_FH12-22S-0.5SH(55)_HIR,FH12-22S-0.5SH(55)CONN_FH12-22S-0.5SH(55)_HIR,CONN_FH12-22S-0.5SH(55)_HIR,J1,,
1,FSUSB42MUX,FSUSB42MUX,SOP50P490X110-10N,U5,,
2,HD05-19-TH-TR,HD05-19-TH-TR,SAMESKY_HD05-19-TH-TR,"J2, J3",,
4,JUMPER-SMT_3_1-NC_TRACE_SILK,JUMPER-SMT_3_1-NC_TRACE_SILK,SMT-JUMPER_3_1-NC_TRACE_SILK,"JP1, JP2, JP3, JP4","Normally closed trace jumper (1 of 2 connections)",
1,L8BE-1G1T-BFH,L8BE-1G1T-BFH,BEL_L8BE-1G1T-BFH,J10,,
2,M55-7011242R,M55-7011242R,HARWIN_M55-7011242R,"J16, J21",,
1,MAX98306ETD+T,MAX98306ETD+T,SON40P300X300X80-15N,U14,,
1,PCM5100APWRPW0020A,PCM5100APWRPW0020A,PW0020A,U13,,
1,RT9742SNGVSOT_42SNGV_RIT,RT9742SNGVSOT_42SNGV_RIT,SOT_42SNGV_RIT,U2,,
2,S2B-XH-A,S2B-XH-A,S2B-XH-A,"J12, J13","CONN HEADER R/A 2POS 2.5MM",
1,SJ-3579AN,SJ-3579AN,CUI_SJ-3579AN,J17,,
1,SM04B-SRSS-TBCONN_SM04B-SRSS-TB_JST,SM04B-SRSS-TBCONN_SM04B-SRSS-TB_JST,CONN_SM04B-SRSS-TB_JST,J8,,
1,TPA6132A2,TPA6132A2,QFN16,IC1,"25-mW DIRECTPATH (TM) STEREO HEADPHONE AMPLIFIER WITH POP SUPPRESSION",
14,"TPB1,27","TPB1,27","B1,27","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14","Test pad",
5,TPD2EUSB30DRTR,TPD2EUSB30DRTR,SOTFL35P100X50-3N,"D1, D2, D3, D4, D5",,
6,TPD4EUSB30DQAR,TPD4EUSB30DQAR,IC_TPD4EUSB30DQAR,"U6, U7, U8, U9, U10, U11",,
4,UJ20-C-R-G-TH-2-P14-TR,UJ20-C-R-G-TH-2-P14-TR,SAMESKY_UJ20-C-R-G-TH-2-P14-TR,"J5, J6, J9, J11",,
1,USB2514B/M2SQFN36_6X6_MCH,USB2514B/M2SQFN36_6X6_MCH,SQFN36_6X6_MCH,U4,,
1,X1203,X1203,X1203,U$1,,
