J10	56.00	42.36	180.00	L8BE-1G1T-BFH	BEL_L8BE-1G1T-BFH
J11	106.00	47.48	180.00	UJ20-C-R-G-TH-2-P14-TR	SAMESKY_UJ20-C-R-G-TH-2-P14-TR
J16	40.00	46.00	90.00	M55-7011242R	HARWIN_M55-7011242R
J17	10.25	36.00	180.00	SJ-3579AN	CUI_SJ-3579AN
J18	20.00	45.47	180.00	61201621721	61201621721
J19	300.00	45.47	180.00	61201621721	61201621721
J2	268.00	49.64	180.00	HD05-19-TH-TR	SAMESKY_HD05-19-TH-TR
J21	281.00	46.00	90.00	M55-7011242R	HARWIN_M55-7011242R
J3	244.00	49.64	180.00	HD05-19-TH-TR	SAMESKY_HD05-19-TH-TR
J4	78.00	48.83	180.00	614104190121	614104190121
J5	94.00	47.48	180.00	UJ20-C-R-G-TH-2-P14-TR	SAMESKY_UJ20-C-R-G-TH-2-P14-TR
J6	226.00	47.48	180.00	UJ20-C-R-G-TH-2-P14-TR	SAMESKY_UJ20-C-R-G-TH-2-P14-TR
J9	214.00	47.48	180.00	UJ20-C-R-G-TH-2-P14-TR	SAMESKY_UJ20-C-R-G-TH-2-P14-TR
