BT1	111.37	12.13	180.00	COIN-CELL-SMT-3P-3002-BR2016	BAT_3002
C1	254.11	52.06	270.00	0.1uF	CAPC2012X110
C10	122.56	34.93	0.00	10uF	CAPC3216X135
C11	129.82	41.27	90.00	0.1uF	CAPC2012X110
C12	117.76	47.63	180.00	27pF	CAPC2012X110
C13	122.25	47.63	0.00	27pF	CAPC2012X110
C14	85.72	41.91	180.00	10uF	CAPC3216X135
C15	93.98	41.91	0.00	10uF	CAPC3216X135
C16	106.05	41.91	0.00	10uF	CAPC3216X135
C17	74.29	45.09	180.00	10uF	CAPC3216X135
C18	79.30	39.30	270.00	100uF	CAPMP3528X210N
C19	261.63	5.08	90.00	10uF	CAPC3216X135
C2	257.63	52.08	270.00	0.1uF	CAPC2012X110
C20	264.16	5.08	90.00	10uF	CAPC3216X135
C21	267.34	4.44	90.00	0.1uF	CAPC2012X110
C22	256.54	10.16	270.00	10uF	CAPC3216X135
C23	259.08	10.16	270.00	10uF	CAPC3216X135
C24	261.62	10.16	270.00	10uF	CAPC3216X135
C25	264.16	10.16	270.00	10uF	CAPC3216X135
C26	252.73	10.79	90.00	4.7nF	CAPC2012X110
C27	269.90	7.62	0.00	0.1uF	CAPC2012X110
C28	87.64	11.43	270.00	0.1uF	CAPC2012X110
C29	90.81	11.43	270.00	10uF	CAPC3216X135
C3	115.80	45.52	180.00	0.1uF	CAPC2012X110
C30	85.81	15.26	0.00	0.1uF	CAPC2012X110
C31	85.21	17.80	0.00	10uF	CAPC3216X135
C32	76.92	12.07	270.00	0.1uF	CAPC2012X110
C33	74.92	15.24	180.00	10uF	CAPC3216X135
C34	80.10	5.08	180.00	0.1uF	CAPC2012X110
C35	84.55	5.08	0.00	10uF	CAPC3216X135
C36	82.01	15.23	0.00	2.2uF	CAPC2012X110
C37	74.39	12.07	90.00	2.2uF	CAPC2012X110
C38	71.85	9.53	90.00	2.2nF	CAPC2012X110
C39	71.84	5.74	270.00	2.2nF	CAPC2012X110
C4	113.31	41.27	180.00	0.1uF	CAPC2012X110
C40	45.76	8.91	90.00	1uF	CAPC2012X110
C41	45.77	12.74	270.00	1uF	CAPC2012X110
C42	54.02	11.47	180.00	2.2uF	CAPC2012X110
C43	54.00	6.37	0.00	2.2uF	CAPC2012X110
C44	54.02	8.90	180.00	1uF	CAPC2012X110
C45	50.84	15.26	90.00	0.1uF	CAPC2012X110
C46	48.30	15.26	90.00	1uF	CAPC2012X110
C47	59.34	9.53	90.00	1uF	CAPC2012X110
C48	66.96	9.53	90.00	1uF	CAPC2012X110
C49	61.88	9.53	90.00	1uF	CAPC2012X110
C5	115.72	36.93	180.00	0.1uF	CAPC2012X110
C50	64.42	9.53	90.00	1uF	CAPC2012X110
C51	67.63	13.34	0.00	0.1uF	CAPC2012X110
C52	68.23	16.51	0.00	10uF	CAPC3216X135
C6	118.75	34.93	270.00	0.1uF	CAPC2012X110
C7	126.62	44.45	0.00	0.1uF	CAPC2012X110
C8	131.72	52.07	90.00	0.1uF	CAPC2012X110
C9	125.38	48.90	90.00	10uF	CAPC3216X135
D1	78.00	44.98	270.00	TPD2EUSB30DRTR	SOTFL35P100X50-3N
D2	109.85	48.16	180.00	TPD2EUSB30DRTR	SOTFL35P100X50-3N
D3	97.79	48.13	180.00	TPD2EUSB30DRTR	SOTFL35P100X50-3N
D4	220.70	46.81	180.00	TPD2EUSB30DRTR	SOTFL35P100X50-3N
D5	208.86	46.84	180.00	TPD2EUSB30DRTR	SOTFL35P100X50-3N
FB1	78.83	15.88	90.00	FBCHIP-0805(2012-METRIC)	BEADC2012X105N
IC1	49.58	10.84	0.00	TPA6132A2	QFN16
J1	189.86	48.10	180.00	FH12-22S-0.5SH(55)CONN_FH12-22S-0.5SH(55)_HIR	CONN_FH12-22S-0.5SH(55)_HIR
J12	227.51	7.88	0.00	S2B-XH-A	S2B-XH-A
J13	218.33	7.87	0.00	S2B-XH-A	S2B-XH-A
J14	202.41	47.66	180.00	2328702-8	TE_2328702-8
J7	243.76	26.00	270.00	1-2199119-5	TE_1-2199119-5
J8	130.82	3.34	180.00	SM04B-SRSS-TBCONN_SM04B-SRSS-TB_JST	CONN_SM04B-SRSS-TB_JST
JP1	137.16	2.72	90.00	JUMPER-SMT_3_1-NC_TRACE_SILK	SMT-JUMPER_3_1-NC_TRACE_SILK
JP2	47.03	3.82	180.00	JUMPER-SMT_3_1-NC_TRACE_SILK	SMT-JUMPER_3_1-NC_TRACE_SILK
JP3	51.89	3.82	180.00	JUMPER-SMT_3_1-NC_TRACE_SILK	SMT-JUMPER_3_1-NC_TRACE_SILK
JP4	63.16	3.81	180.00	JUMPER-SMT_3_1-NC_TRACE_SILK	SMT-JUMPER_3_1-NC_TRACE_SILK
L1	250.83	5.08	180.00	2.2uH	WE-XHMI_5030
R1	130.81	8.26	0.00	10K	RESC2012X65
R10	116.48	50.16	0.00	12K	RESC2012X65
R11	126.65	36.83	0.00	100K	RESC2012X65
R12	126.65	39.37	0.00	100K	RESC2012X65
R13	126.65	41.91	0.00	100K	RESC2012X65
R14	130.46	44.45	0.00	100K	RESC2012X65
R15	81.28	45.72	0.00	15K	RESC2012X65
R16	134.27	52.07	90.00	10K	RESC2012X65
R17	245.11	10.79	270.00	100K	RESC2012X65
R18	247.65	10.79	270.00	2.2K	RESC2012X65
R19	250.19	10.79	90.00	10K	RESC2012X65
R2	66.68	50.80	270.00	470	RESC2012X65
R20	104.14	53.33	180.00	56K	RESC2012X65
R21	107.95	53.35	0.00	56K	RESC2012X65
R22	93.34	53.34	180.00	56K	RESC2012X65
R23	97.16	53.34	0.00	56K	RESC2012X65
R24	208.92	43.81	0.00	2.2K	RESC2012X65
R25	220.34	51.43	0.00	2.2K	RESC2012X65
R26	75.66	8.81	0.00	470	RESC2012X65
R27	75.66	6.27	0.00	470	RESC2012X65
R28	89.07	15.88	90.00	10k	RESC2012X65
R29	61.25	6.35	180.00	0	RESC2012X65
R3	45.07	50.82	270.00	470	RESC2012X65
R30	65.06	6.35	0.00	0	RESC2012X65
R31	59.34	14.61	90.00	10K	RESC2012X65
R32	54.00	13.98	180.00	10K	RESC2012X65
R33	33.62	50.81	90.00	10K	RESC2012X65
R34	31.12	50.81	90.00	10K	RESC2012X65
R4	220.34	48.89	0.00	5.1K	RESC2012X65
R5	221.21	43.79	270.00	5.1K	RESC2012X65
R6	136.81	52.07	270.00	10K	RESC2012X65
R7	129.82	37.47	90.00	100K	RESC2012X65
R8	213.39	42.54	0.00	5.1K	RESC2012X65
R9	218.67	43.79	90.00	5.1K	RESC2012X65
TP1	124.46	5.08	0.00	TPB1,27	B1,27
TP10	17.14	52.07	0.00	TPB1,27	B1,27
TP11	75.56	41.91	0.00	TPB1,27	B1,27
TP12	73.03	41.91	0.00	TPB1,27	B1,27
TP13	23.50	52.07	0.00	TPB1,27	B1,27
TP14	20.32	52.07	0.00	TPB1,27	B1,27
TP2	114.30	53.34	0.00	TPB1,27	B1,27
TP3	192.52	3.18	0.00	TPB1,27	B1,27
TP4	124.46	2.54	0.00	TPB1,27	B1,27
TP5	111.65	53.34	0.00	TPB1,27	B1,27
TP6	196.33	3.18	0.00	TPB1,27	B1,27
TP7	264.80	18.41	0.00	TPB1,27	B1,27
TP8	260.99	18.41	0.00	TPB1,27	B1,27
TP9	13.97	52.07	0.00	TPB1,27	B1,27
U$1	179.30	28.45	90.00	X1203	X1203
U1	160.00	28.00	90.00	CM5108064B	MODULE_CM5108064B
U10	236.85	39.37	0.00	TPD4EUSB30DQAR	IC_TPD4EUSB30DQAR
U11	236.85	42.56	0.00	TPD4EUSB30DQAR	IC_TPD4EUSB30DQAR
U12	257.17	5.08	180.00	AP3441SHE-7BIC8_AP3441SHE-7B_DIO-M	IC8_AP3441SHE-7B_DIO-M
U13	82.01	10.16	0.00	PCM5100APWRPW0020A	PW0020A
U14	63.15	14.61	90.00	MAX98306ETD+T	SON40P300X300X80-15N
U2	255.89	47.63	180.00	RT9742SNGVSOT_42SNGV_RIT	SOT_42SNGV_RIT
U3	85.72	45.72	180.00	AP22653W6-7	SOT95P280X145-6N
U4	120.30	41.27	0.00	USB2514B/M2SQFN36_6X6_MCH	SQFN36_6X6_MCH
U5	134.27	48.26	0.00	FSUSB42MUX	SOP50P490X110-10N
U6	52.72	29.85	270.00	TPD4EUSB30DQAR	IC_TPD4EUSB30DQAR
U7	60.34	29.85	270.00	TPD4EUSB30DQAR	IC_TPD4EUSB30DQAR
U8	260.98	39.37	0.00	TPD4EUSB30DQAR	IC_TPD4EUSB30DQAR
U9	260.98	42.56	0.00	TPD4EUSB30DQAR	IC_TPD4EUSB30DQAR
Y1	120.31	50.80	0.00	24 MHz	WE-XTAL_CFPX-180
Y2	269.88	10.77	90.00	ASEK-32.768KHZ-L-R-T	XTAL_ASEK-32.768KHZ-L-R-T
